approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,NCL,1,1,1.0,to nucleolin,as1411,tonucleolin_binder,Solid tumors; Hematological Malignancies,
,NDC80,1,1,1.0,hec1,t-1101,hec1_nek2interaction_disruptor,Solid tumors,
,NEK7,1,1,1.0,nek7,ofirnoflast,nek7_nlrp3inflammasome_inhibitor,,
,NGFR,1,1,1.0,p75ntr,chf6467,p75ntr_agonist,Brain and Other Nervous System,
,NMT1,1,1,1.0,nmt1,zelenirstat,nmt1_nmt2_inhibitor,,
,NMT2,1,1,1.0,nmt2,zelenirstat,nmt1_nmt2_inhibitor,,
,NOS3,1,1,1.0,enos via conformation,afalaza,enosviaconformation_psa_modulator,Prostate Cancer,
,NOX1,1,1,1.0,nox1,apx-343a,cybb_nox1_nox4_inhibitor,Solid tumors,
,NOX4,1,1,1.0,nox4,apx-343a,cybb_nox1_nox4_inhibitor,Solid tumors,
,NPS,1,1,1.0,neuropeptide s,azd2287,neuropeptides_antagonist,Prostate Cancer,
,NQO1,1,1,1.0,nadph quinone oxidoreductase 1,arq 761,nadphquinoneoxidoreductase1_activator,Solid tumors,
,NTN1,1,1,1.0,netrin-1,np137,netrin1_antagonist,,
,NTSR1,1,1,1.0,non-peptide nts1,sr48692,nonpeptidents1_antagonist,Lung Cancers,
,NUAK1,1,1,0.8,ark5,hx301,ark5_cdk4_cdk6_csf1r_inhibitor,Solid tumors; Brain and Other Nervous System,
,NUDT1,1,1,1.0,mth1,karonudib,mth1_inhibitor,Hematological Malignancies; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,OXT,1,1,1.0,oxytocin,carbetocin,oxytocin_agonist,Gynecological Cancers; Lung Cancers,
,P2RX3,1,1,1.0,p2x3,eliapixant,p2x3_antagonist,,
,P2RY12,1,1,1.0,p2y12 adp,clopidogrel,p2y12adp_antagonist,Head and Neck Cancers; Lung Cancers,
,P2RY2,1,1,1.0,p2y2,uridine 5'-triphosphate,p2y2_agonist,,
,PAK4,1,1,1.0,p21-activated 4,kpt-9274,p21activated4_inhibitor,Hematological Malignancies,
,PARP3,1,1,1.0,parp3,azd2461,parp1_parp2_parp3_inhibitor,Solid tumors,
,PARS1,1,1,1.0,prolyl-trna synthetase,halofuginone,prolyltrnasynthetase_inhibitor,,
,PCNA,1,1,1.0,pcna,aoh1996,pcna_inhibitor,Hematological Malignancies; Soft Tissue Cancers (including Heart); Bone and Joint Cancers; Gynecological Cancers; Lung Cancers,
,PDE10A,1,1,1.0,pde10,pbf-999,pde10_inhibitor,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,PDE2A,1,1,1.0,pde2,exisulind,pde2_pde5_inhibitor,Prostate Cancer; Lung Cancers; Breast Cancer; Hematological Malignancies,
,PDE4B,1,1,1.0,preferential pde4b,bi 1015550,preferentialpde4b_inhibitor,Lung Cancers,
,PDE9A,1,1,1.0,pde9,asp4901,pde9_inhibitor,Prostate Cancer,
,PDPN,1,1,1.0,podoplanin,masl,podoplanin_targeted,,
,PGF,1,1,1.0,plgf angiogenesis,anti-plgf monoclonal antibody tb-403,plgfangiogenesis_inhibitor,,
,PHGDH,1,1,1.0,phgdh,nc-503,phgdh_inhibitor,Specific Syndromes; Hematological Malignancies; Bladder Cancer,
,PLAUR,1,1,1.0,upar for pet imaging,64cu-dota-ae105,uparforpetimaging_binder,Prostate Cancer,
,PLEC,1,1,1.0,cancer-specific plectin,zb131,cancerspecificplectin_inhibitor,Gynecological Cancers; Solid tumors; Pancreatic Cancer; Liver and Bile Duct Cancers,
,PLK4,1,1,1.0,plk4,cfi-400945,plk4_inhibitor,Hematological Malignancies; Breast Cancer; Prostate Cancer; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors,
,PLVAP,1,1,1.0,plvap,csr02-fab-tf,plvap_inhibitor,Liver and Bile Duct Cancers,
,PNLIP,1,1,1.0,pancreatic lipase,orlistat,gastric_pancreaticlipase_inhibitor,Specific Syndromes; Lung Cancers,
,PNP,1,1,1.0,purine nucleoside phosphorylase,bcx-1777,purinenucleosidephosphorylase_inhibitor,Hematological Malignancies,
,PPARD,1,1,1.0,pparδ agonist,bocidelpar,pparagonist_modulator,Liver and Bile Duct Cancers,
,PPP5C,1,1,1.0,ppp5c phosphatase,lb-100,pp2a_ppp5cphosphatase_inhibitor,Brain and Other Nervous System; Soft Tissue Cancers (including Heart); Colorectal Cancer; Gynecological Cancers; Hematological Malignancies,
,PPT1,1,1,1.0,ppt1,gns561,ppt1_inhibitor,Liver and Bile Duct Cancers,
,PRKAR1A,1,1,1.0,r1-alpha,gem 231,r1alpha_inhibitor,Solid tumors,
,PRKDC,1,1,1.0,dna-pk catalytic subunit,azd7648,dnapkcatalyticsubunit_inhibitor,,
,PRL,1,1,1.0,prolactin,anti-prolactin receptor antibody lfa102,prolactin_antagonist,,
,PRMT1,1,1,1.0,prmt1,cts2190,prmt1_inhibitor,Solid tumors; Pancreatic Cancer; Lung Cancers; Breast Cancer,
,PROM1,1,1,1.0,binds to cd133,prominin-1,bindstocd133_targeted,,
,PSCA,1,1,1.0,kills psca-expressing tumor cells,tcrzeta-cd19t-expressing t-lymphocytes,killspscaexpressingtumorcells_targeted,,
,PTGER4,1,1,1.0,prostaglandin ep4,grapiprant,prostaglandinep4_antagonist,Colorectal Cancer,
,PTP4A3,1,1,1.0,prl-3,prl3-zumab,prl3_inhibitor,Solid tumors; Gastric (Stomach) Cancer; Liver and Bile Duct Cancers,
,QPCTL,1,1,1.0,qpctl,ism8207,qpctl_inhibitor,Solid tumors; Hematological Malignancies,
,RAD51,1,1,1.0,rad51,abexinostat,panhdac_rad51_inhibitor,Lung Cancers; Hematological Malignancies; Skin Cancers; Kidney (Renal) and Urethral Cancers; Head and Neck Cancers,
,RAPGEF3,1,1,1.0,non-competitive epac1,am001,noncompetitiveepac1_inhibitor,Skin Cancers,
,RARG,1,1,1.0,retinoic acid gamma,cd5789,retinoicacidgamma_agonist,,
,REN,1,1,1.0,renin,aliskiren,renin_inhibitor,,
,ROCK1,1,1,1.0,rock1,tq05105,jak1_jak2_rock1_rock2_inhibitor,Hematological Malignancies,
,RORC,1,1,1.0,rorγ,lyc-55716,ror_agonist,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,RPS6KA3,1,1,1.0,rsk2,tuspetinib,ckit_flt3_jak1_jak2_rsk2_syk_inhibitor,Hematological Malignancies,
,RRM2,1,1,1.0,ribonucleotide reductase r2 subunit,gti-2040,ribonucleotidereductaser2subunit_inhibitor,Hematological Malignancies; Colorectal Cancer; Prostate Cancer; Lung Cancers; Solid tumors,
,SCD,1,1,1.0,scd1,mti-301,scd1_inhibitor,Hematological Malignancies,
,SELE,1,1,1.0,e-selectin,uproleselan,eselectin_antagonist,Hematological Malignancies,
,SELP,1,1,1.0,p-selectin,crizanlizumab,pselectin_inhibitor,Brain and Other Nervous System; Skin Cancers,
,SERPINC1,1,1,1.0,antithrombin iii,semuloparin,antithrombiniii_activator,Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer; Bladder Cancer,
,SERPINE1,1,1,1.0,pai-1,act001,nfb_pai1_stat3_inhibitor,Brain and Other Nervous System,
,SIGLEC15,1,1,1.0,siglec-15,aldastotug,siglec15_inhibitor,,
,SIK2,1,1,1.0,sik2,aur109,ddr1_fgfrs_sik2_vegfrs_inhibitor,Gynecological Cancers; Colorectal Cancer; Adrenal Cancer and Neuroendocrine Tumors,
,SIK3,1,1,1.0,sik3,tenalisib,pi3k_sik3_inhibitor,Hematological Malignancies; Breast Cancer,
,SIRT1,1,1,1.0,sirt1,srt501,sirt1_activator,Colorectal Cancer,
,SLC16A1,1,1,1.0,mct1,monocarboxylate transporter 1 (mct1) inhibitor azd3965,mct1_inhibitor,,
,SLC18A2,1,1,1.0,vmat2,dwz2501,vmat2_inhibitor,Gynecological Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,SLC3A2,1,1,0.9,cd98 monoclonal,ign523,cd98monoclonal_antibody,Hematological Malignancies,
,SLC6A5,1,1,1.0,glyt2,vvz-149,5ht2a_glyt2_antagonist,,
,SLC7A5,1,1,1.0,lat1,nanvuranlat,lat1_inhibitor,Liver and Bile Duct Cancers,
,SP1,1,1,1.0,sp1 transcription factor,em-1421,sp1transcriptionfactor_inhibitor,Gynecological Cancers; Ampullary Adenocarcinoma; Adrenal Cancer and Neuroendocrine Tumors; Anal Cancer; Appendix Cancer,
,SPHK2,1,1,1.0,sphingosine kinase-2,opaganib,sphingosinekinase2_inhibitor,Prostate Cancer,
,SQLE,1,1,1.0,squalene epoxidase,terbinafine,squaleneepoxidase_inhibitor,Prostate Cancer,
,SST,1,1,1.0,somatostatin,gallium-68,psma_somatostatin_binder,Colorectal Cancer; Prostate Cancer,
,STEAP1,1,1,1.0,six-transmembrane epithelial antigen of prostate-1,mstp2109a,sixtransmembraneepithelialantigenofprostate1_binder,,
,SV2A,1,1,1.0,sv2a,levetiracetam,sv2a_inhibitor,Hematological Malignancies; Brain and Other Nervous System; Lung Cancers; Gastrointestinal Stromal Tumors; Neuroblastoma,
,TDO2,1,1,1.0,tdo,hti-1090,ido1_tdo_inhibitor,Solid tumors,
,TEAD1,1,1,1.0,tead1,bpi-460372,tead1_tead3_tead4_inhibitor,,
,TEAD3,1,1,1.0,tead3,bpi-460372,tead1_tead3_tead4_inhibitor,,
,TEAD4,1,1,1.0,tead4,bpi-460372,tead1_tead3_tead4_inhibitor,,
,TFDP1,1,1,1.0,dp1,laropiprant,dp1_antagonist,Specific Syndromes,
,TLR5,1,1,1.0,tlr5,entolimod,tlr5_agonist,Solid tumors,
,TMEFF2,1,1,1.0,tmeff2,jnj-70218902,tcellredirecting_tmeff2_inhibitor,,
,TMEM97,1,1,1.0,sigma-2,f-18-iso,sigma2_modulator,Breast Cancer; Head and Neck Cancers; Hematological Malignancies,
,TNFRSF3,1,1,1.0,tnfrsf3,ro7567132,tnfrsf3_agonist,,
,TNFSF12,1,1,1.0,tweak,ro5458640,tweak_antagonist,Hematological Malignancies,
,TNK2,1,1,1.0,ack1; tnk2,9bms,ack1_tnk2_inhibitor,Prostate Cancer,
,TRAP1,1,1,1.0,trap1,cvm-1118,trap1_inhibitor,Pancreatic Cancer; Adrenal Cancer and Neuroendocrine Tumors; Lung Cancers; Gallbladder Cancer; Gastric (Stomach) Cancer,
,TREM1,1,1,0.9,tlt-1,asd141,cd11bsignaling_tlt1_blocker,Solid tumors,
,TRPA1,1,1,1.0,trpa1,hyaluronan fragment ha35,trpa1_trpv1_modulator,,
,TUBB3,1,1,1.0,β-iii tubulin polymerization,cci-001,iiitubulinpolymerization_inhibitor,Solid tumors,
,TXN,1,1,1.0,thioredoxin-1,1-methylpropyl 2-imidazolyl disulfide,thioredoxin1_inhibitor,,
,TYR,1,1,1.0,tyr,rbl001,nyeso1_tyr_modulator,Skin Cancers,
,UGCG,1,1,1.0,glucosylceramide synthase,eliglustat,glucosylceramidesynthase_inhibitor,Hematological Malignancies; Neuroblastoma; Colorectal Cancer; Solid tumors,
,ULK1,1,1,1.0,ulk1,inlexisertib,ulk1_ulk2_inhibitor,Solid tumors; Lung Cancers; Gastrointestinal Stromal Tumors,
,ULK2,1,1,1.0,ulk2,inlexisertib,ulk1_ulk2_inhibitor,Solid tumors; Lung Cancers; Gastrointestinal Stromal Tumors,
,VDR,1,1,1.0,vdr agonist,cta018,cyp24a1_vdragonist_antagonist,Bladder Cancer; Thyroid Cancer,
,VIPR1,1,1,1.0,vpac1 for pet imaging,copper cu 64 tp3805,vpac1forpetimaging_binder,Bladder Cancer,
